Site;Livraison;Age
AMROU;1960;58
RUWAT;1960;58
CD93;1970;48
MOZIN_AVEC_GESTION;1975;43
MOZIN_SANS_GESTION;1975;43
CIROB;1982;36
PULMA;1992;26
EIDER;2006;12
SIBUE;2007;11
CHAVIN;2008;10
CIMOD;2008;10
LUAUB;2008;10
WWF;2008;10
GOOPL;2009;9
PAREX;2010;8
ROROL;2011;7
CARON;2013;5
GRENEL;2013;5
MECHO;2013;5
PROMA;2013;5
BOUTOU;2014;4
ECOBIO_BOIS;2014;4
ECOBIO_PRAIRIE;2014;4
OLSER;2014;4
FRANK;2015;3
GTMBA_PLANTE;2015;3
GTMBA_WILD;2015;3
MUENT;2015;3
ALBAR;2016;2
ANTHEU;2016;2
BOUCHA;2016;2
FAUTEM;2016;2
FONTA_PLANTE;2016;2
PERIS;2016;2
SEINE;2018;0
