Type_Toiture;Site;Formation_vegetale_Dominante
Semi-intensive;ALBAR;Herbacee
Extensive;AMROU;Mixte
Extensive;ANTHEU;Orpins
Extensive;BOUCHA;Orpins
Semi-intensive;BOUTOU;Herbacee
Extensive;CARON;Herbacee
Wildroof;CD93;Orpins
Intensive;CHAVIN;Herbacee
Extensive;CIMOD;Mixte
Intensive;CIROB;Herbacee
Intensive;ECOBIO_ARBOREE;Arboree
Intensive;ECOBIO_PRAIRIE;Herbacee
Extensive;EIDER;Orpins
Intensive;FAUTEM;Herbacee
Extensive;FONTA_PLANTE;Orpins
Wildroof;FONTA_WILD;
Semi-intensive;FRANK;Herbacee
Extensive;GOOPL;Mixte
Intensive;GRENEL;Herbacee
Semi-intensive;GTMBA_PLANTE;Herbacee
Wildroof;GTMBA_WILD;
Extensive;LUAUB;Orpins
Extensive;MECHO;Mixte
Intensive;MOZIN_AVEC_GESTION;Herbacee
Intensive;MOZIN_SANS_GESTION;Herbacee
Wildroof;MUENT;Herbacee
Semi-intensive;OLSER;Herbacee
Extensive;PAREX;Orpins
Extensive;PERIS;Orpins
Extensive;PROMA;Orpins
Semi-intensive;PULMA;Herbacee
Extensive;ROROL;Orpins
Extensive;RUWAT;Mixte
Intensive;SEINE;Herbacee
Extensive;SIBUET;Orpins
Extensive;WWF;Mixte
